Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,2005,2005,Oregon,41,55-64 years,55-64,433,412758,104.9
,2005,2005,Pennsylvania,42,55-64 years,55-64,2127,1374904,154.7
,2005,2005,Rhode Island,44,55-64 years,55-64,199,112190,177.4
,2005,2005,South Carolina,45,55-64 years,55-64,868,483000,179.7
,2005,2005,South Dakota,46,55-64 years,55-64,120,78419,153.0
,2005,2005,Tennessee,47,55-64 years,55-64,1375,665531,206.6
,2005,2005,Texas,48,55-64 years,55-64,3433,2082926,164.8
,2005,2005,Utah,49,55-64 years,55-64,176,188875,93.2
,2005,2005,Vermont,50,55-64 years,55-64,78,74917,104.1
,2005,2005,Virginia,51,55-64 years,55-64,1123,815526,137.7
,2005,2005,Washington,53,55-64 years,55-64,832,675247,123.2
,2005,2005,West Virginia,54,55-64 years,55-64,450,225624,199.4
,2005,2005,Wisconsin,55,55-64 years,55-64,741,574727,128.9
,2005,2005,Wyoming,56,55-64 years,55-64,76,58125,130.8
,2006,2006,Alabama,01,55-64 years,55-64,793,524312,151.2
,2006,2006,Alaska,02,55-64 years,55-64,56,69753,80.3
,2006,2006,Arizona,04,55-64 years,55-64,913,633263,144.2
,2006,2006,Arkansas,05,55-64 years,55-64,689,318693,216.2
,2006,2006,California,06,55-64 years,55-64,4697,3487880,134.7
,2006,2006,Colorado,08,55-64 years,55-64,482,494724,97.4
,2006,2006,Connecticut,09,55-64 years,55-64,399,396246,100.7
,2006,2006,Delaware,10,55-64 years,55-64,133,97724,136.1
,2006,2006,District of Columbia,11,55-64 years,55-64,139,59845,232.3
,2006,2006,Florida,12,55-64 years,55-64,2962,2108308,140.5
,2006,2006,Georgia,13,55-64 years,55-64,1243,920050,135.1
,2006,2006,Hawaii,15,55-64 years,55-64,175,151933,115.2
,2006,2006,Idaho,16,55-64 years,55-64,186,153217,121.4
,2006,2006,Illinois,17,55-64 years,55-64,1961,1301167,150.7
,2006,2006,Indiana,18,55-64 years,55-64,1056,674227,156.6
,2006,2006,Iowa,19,55-64 years,55-64,478,323025,148.0
,2006,2006,Kansas,20,55-64 years,55-64,387,285458,135.6
,2006,2006,Kentucky,21,55-64 years,55-64,832,477485,174.2
,2006,2006,Louisiana,22,55-64 years,55-64,962,463919,207.4
,2006,2006,Maine,23,55-64 years,55-64,210,168298,124.8
,2006,2006,Maryland,24,55-64 years,55-64,911,618251,147.4
,2006,2006,Massachusetts,25,55-64 years,55-64,705,708544,99.5
,2006,2006,Michigan,26,55-64 years,55-64,1960,1109265,176.7
,2006,2006,Minnesota,27,55-64 years,55-64,432,536391,80.5
,2006,2006,Mississippi,28,55-64 years,55-64,633,308496,205.2
,2006,2006,Missouri,29,55-64 years,55-64,1145,640898,178.7
,2006,2006,Montana,30,55-64 years,55-64,133,117054,113.6
,2006,2006,Nebraska,31,55-64 years,55-64,161,183424,87.8
,2006,2006,Nevada,32,55-64 years,55-64,441,281046,156.9
,2006,2006,New Hampshire,33,55-64 years,55-64,165,154056,107.1
,2006,2006,New Jersey,34,55-64 years,55-64,1127,942325,119.6
,2006,2006,New Mexico,35,55-64 years,55-64,261,219588,118.9
,2006,2006,New York,36,55-64 years,55-64,3187,2079639,153.2
,2006,2006,North Carolina,37,55-64 years,55-64,1559,986089,158.1
,2006,2006,North Dakota,38,55-64 years,55-64,90,68009,132.3
,2006,2006,Ohio,39,55-64 years,55-64,2147,1276348,168.2
,2006,2006,Oklahoma,40,55-64 years,55-64,908,393271,230.9
,2006,2006,Oregon,41,55-64 years,55-64,446,436836,102.1
,2006,2006,Pennsylvania,42,55-64 years,55-64,2110,1427051,147.9
,2006,2006,Rhode Island,44,55-64 years,55-64,156,116178,134.3
,2006,2006,South Carolina,45,55-64 years,55-64,888,507662,174.9
,2006,2006,South Dakota,46,55-64 years,55-64,140,82567,169.6
,2006,2006,Tennessee,47,55-64 years,55-64,1488,694825,214.2
,2006,2006,Texas,48,55-64 years,55-64,3487,2196687,158.7
,2006,2006,Utah,49,55-64 years,55-64,172,200672,85.7
,2006,2006,Vermont,50,55-64 years,55-64,87,78434,110.9
